Key,Default Value,Value Type,Description
db.connection.global.lock_retry.interval,100,integer,The time in milliseconds between locked row retries.
db.connection.global.connection.expiration_hour,24,integer,The interval at which the framework will flush its prepared statements and close its connection.
db.connection.global.prepared.statement.queue.size,25,integer,"The maximum size of the prepared statement queue. Prepared statements are cached using the least recently used (LRU) algorithm. For example, if the queue size is set to 1000 and there currently are 1000 prepared statements cached internally, then the least recently used one will be removed from the list in order to make space for the new one."
db.connection.global.management.class_name,com.tecsys.base.dbupgr.DatabaseManagementImpl,string,The database management class name.
GLOBAL ENGINE,,,
meta.extension.package.global,com.tecsys.global.ext,,
meta.non_conversation_mode.create.disabled.global,,,
meta.non_conversation_mode.delete.disabled.global,,,
meta.non_conversation_mode.update.disabled.global,,,
GLOBAL ENVIRONMENT,,,
global.domain.cc_expiry_date.date.display_format,{month2}/{year4},,
global.signal.schedulers,1,,
global.task.wait.interval,250,,
global.task.wait.max.time,2000,,
global.task.wait.auto.refresh,2,,
GLOBAL INTERFACE,,,
 ,,,
GLOBAL MESSAGING,,,
msg.queue.disabled.global,0,boolean,A flag that indicates whether or not queues associated with this database are disabled (i.e. excluded from being processed).
GLOBAL XML,,,
 ,,,
IBIS DATABASE CONNECTION,,,
db.connection.ibis.lock_retry.attempts,1000,integer,The number of times the application will reexecute an SQL statement when it encounters a locked row.
db.connection.ibis.lock_retry.interval,100,integer,The time in milliseconds between locked row retries.
db.connection.ibis.connection.expiration_hour,24,integer,The interval at which the framework will flush its prepared statements and close its connection.
db.connection.ibis.prepared.statement.queue.size,50,integer,"The maximum size of the prepared statement queue. Prepared statements are cached using the least recently used (LRU) algorithm. For example, if the queue size is set to 1000 and there currently are 1000 prepared statements cached internally, then the least recently used one will be removed from the list in order to make space for the new one."
db.connection.ibis.management.class_name,com.tecsys.base.dbupgr.DatabaseManagementImpl,string,The database management class name.
IBIS ENGINE,,,
meta.extension.package.ibis,com.tecsys.ibis.ext,,
meta.non_conversation_mode.create.disabled.ibis,,boolean,
meta.non_conversation_mode.delete.disabled.ibis,,boolean,
meta.non_conversation_mode.update.disabled.ibis,,boolean,
IBIS ENVIRONMENT,,,
ibis.prolen,21,integer,Product Code Length 
ibis.cuslen,7,integer,Customer Code Length
ibis.glalen,8,integer,G/L Account Code Length
ibis.clrlen,6,integer,Color Code Length
ibis.salreplen,{ibis.salreplen},integer,Sales Representative Code Length
ibis.pvx.url,“tecpvx” + <<PFE Version>> + <<Client Code>> + <<Instance>>,string,Windows Registry Entry With Required Arguments 
IBIS MESSAGING,,,
msg.queue.disabled.ibis,0,boolean,A flag that indicates whether or not queues associated with this database are disabled (i.e. excluded from being processed).
IBISAUDIT DATABASE CONNECTION,,,
db.connection.ibisaudit.lock_retry.attempts,1000,integer,The number of times the application will rexecute an SQL statement when it encounters a locked row.
db.connection.ibisaudit.lock_retry.interval,100,integer,The time in milliseconds between locked row retries.
db.connection.ibisaudit.connection.expiration_hour,24,integer,The interval at which the framework will flush its prepared statements and close its connection.
db.connection.ibisaudit.prepared.statement.queue.size,25,integer,"The maximum size of the prepared statement queue. Prepared statements are cached using the least recently used (LRU) algorithm. For example, if the queue size is set to 1000 and there currently are 1000 prepared statements cached internally, then the least recently used one will be removed from the list in order to make space for the new one."
db.connection.ibisaudit.management.class_name,com.tecsys.base.dbupgr.DatabaseManagementImpl,string,The database management class name.
IBISAUDIT ENGINE,,,
meta.extension.package.ibisaudit,com.tecsys.ibisaudit.ext,,
meta.non_conversation_mode.create.disabled.ibisaudit,,,
meta.non_conversation_mode.delete.disabled.ibisaudit,,,
meta.non_conversation_mode.update.disabled.ibisaudit,,,
IBISAUDIT MESSAGING,,,
msg.queue.disabled.ibisaudit,0,boolean,A flag that indicates whether or not queues associated with this database are disabled (i.e. excluded from being processed).
ICE DATABASE CONNECTION,,,
db.connection.ice.lock_retry.attempts,1000,integer,The number of times the application will reexecute an SQL statement when it encounters a locked row.
db.connection.ice.lock_retry.interval,100,integer,The time in milliseconds between locked row retries.
db.connection.ice.connection.expiration_hour,24,integer,The interval at which the framework will flush its prepared statements and close its connection.
db.connection.ice.prepared.statement.queue.size,25,integer,"The maximum size of the prepared statement queue. Prepared statements are cached using the least recently used (LRU) algorithm. For example, if the queue size is set to 1000 and there currently are 1000 prepared statements cached internally, then the least recently used one will be removed from the list in order to make space for the new one."
db.connection.ice.management.class_name,com.tecsys.base.dbupgr.DatabaseManagementImpl,string,The database management class name.
ICE ENGINE,,,
meta.extension.package.ice,com.tecsys.ice.ext,,
meta.non_conversation_mode.create.disabled.ice,,,
meta.non_conversation_mode.delete.disabled.ice,,,
meta.non_conversation_mode.update.disabled.ice,,,
ICE ENVIRONMENT,,,
 ,,,
ICE MESSAGING,,,
msg.queue.disabled.ice,0,boolean,A flag that indicates whether or not queues associated with this database are disabled (i.e. excluded from being processed).
ICE XML,,,
 ,,,
ICEAUDIT DATABASE CONNECTION,,,
db.connection.iceaudit.lock_retry.attempts,1000,integer,The number of times the application will reexecute an SQL statement when it encounters a locked row.
db.connection.iceaudit.lock_retry.interval,100,integer,The time in milliseconds between locked row retries.
db.connection.iceaudit.connection.expiration_hour,24,integer,The interval at which the framework will flush its prepared statements and close its connection.
db.connection.iceaudit.prepared.statement.queue.size,25,integer,"The maximum size of the prepared statement queue. Prepared statements are cached using the least recently used (LRU) algorithm. For example, if the queue size is set to 1000 and there currently are 1000 prepared statements cached internally, then the least recently used one will be removed from the list in order to make space for the new one."
db.connection.iceaudit.management.class_name,com.tecsys.base.dbupgr.DatabaseManagementImpl,string,
ICEAUDIT ENGINE,,,
meta.extension.package.iceaudit,com.tecsys.iceaudit.ext,,
meta.non_conversation_mode.create.disabled.iceaudit,,,
meta.non_conversation_mode.delete.disabled.iceaudit,,,
meta.non_conversation_mode.update.disabled.iceaudit,,,
ICEAUDIT MESSAGING,,,
msg.queue.disabled.iceaudit,0,boolean,A flag that indicates whether or not queues associated with this database are disabled (i.e. excluded from being processed).
ICEVALID DATABASE CONNECTION,,,
db.connection.icevalid.lock_retry.attempts,1000,integer,The number of times the application will reexecute an SQL statement when it encounters a locked row.
db.connection.icevalid.lock_retry.interval,100,integer,The time in milliseconds between locked row retries.
db.connection.icevalid.connection.expiration_hour,24,integer,The interval at which the framework will flush its prepared statements and close its connection.
db.connection.icevalid.prepared.statement.queue.size,25,integer,"The maximum size of the prepared statement queue. Prepared statements are cached using the least recently used (LRU) algorithm. For example, if the queue size is set to 1000 and there currently are 1000 prepared statements cached internally, then the least recently used one will be removed from the list in order to make space for the new one."
db.connection.icevalid.management.class_name,com.tecsys.base.dbupgr.DatabaseManagementImpl,string,The database management class name.
ICEVALID ENGINE,,,
meta.extension.package.icevalid,com.tecsys.icevalid.ext,,
meta.non_conversation_mode.create.disabled.icevalid,,,
meta.non_conversation_mode.delete.disabled.icevalid,,,
meta.non_conversation_mode.update.disabled.icevalid,,,
ICEVALID ENVIRONMENT,,,
 ,,,
ICEVALID MESSAGING,,,
msg.queue.disabled.icevalid,0,boolean,A flag that indicates whether or not queues associated with this database are disabled (i.e. excluded from being processed).
ICEVALID XML,,,
 ,,,
ITMS DATABASE CONNECTION,,,
db.connection.itms.lock_retry.attempts,200,integer,The number of times the application will reexecute an SQL statement when it encounters a locked row.
db.connection.itms.lock_retry.interval,250,integer,The time in milliseconds between locked row retries.
db.connection.itms.connection.expiration_hour,24,integer,The interval at which the framework will flush its prepared statements and close its connection.
db.connection.itms.prepared.statement.queue.size,50,integer,"The maximum size of the prepared statement queue. Prepared statements are cached using the least recently used (LRU) algorithm. For example, if the queue size is set to 1000 and there currently are 1000 prepared statements cached internally, then the least recently used one will be removed from the list in order to make space for the new one."
db.connection.itms.management.class_name,com.tecsys.base.dbupgr.DatabaseManagementImpl,string,The database management class name.
ITMS ENGINE,,,
meta.extension.package.itms,com.tecsys.itms.ext,,
meta.non_conversation_mode.create.disabled.itms,,,
meta.non_conversation_mode.delete.disabled.itms,,,
meta.non_conversation_mode.update.disabled.itms,,,
ITMS ENVIRONMENT,,,
environment.url.itms.resource.interface.url,,,
environment.url.itms.self_link_url,,,
environment.url.targetprocess.interface.host,,,
environment.url.targetprocess.interface.rest_api_url,,,
itms.resource.interface.login,,,
itms.resource.interface.password.encrypted,,,
itms.signal.schedulers,1,,
itms.targetprocess.interface.rest_api.access_token,,,
itms.targetprocess.interface.active,0,,
itms.task.wait.auto.refresh,2,,
itms.task.wait.interval,250,,
itms.task.wait.max.time,2000,,
itms.task.wait.auto.refresh,2,,
ITMS MESSAGING,,,
msg.queue.disabled.itms,0,boolean,A flag that indicates whether or not queues associated with this database are disabled (i.e. excluded from being processed).
ITMS XML,,,
 ,,,
ITMSAUDIT DATABASE CONNECTION,,,
db.connection.itmsaudit.lock_retry.attempts,1000,integer,The number of times the application will reexecute an SQL statement when it encounters a locked row.
db.connection.itmsaudit.lock_retry.interval,100,integer,The time in milliseconds between locked row retries.
db.connection.itmsaudit.connection.expiration_hour,24,integer,The interval at which the framework will flush its prepared statements and close its connection.
db.connection.itmsaudit.prepared.statement.queue.size,25,integer,"The maximum size of the prepared statement queue. Prepared statements are cached using the least recently used (LRU) algorithm. For example, if the queue size is set to 1000 and there currently are 1000 prepared statements cached internally, then the least recently used one will be removed from the list in order to make space for the new one."
db.connection.itmsaudit.management.class_name,com.tecsys.base.dbupgr.DatabaseManagementImpl,string,The database management class name.
ITMSAUDIT ENGINE,,,
meta.extension.package.itmsaudit,com.tecsys.itmsaudit.ext,,
meta.non_conversation_mode.create.disabled.itmsaudit,,,
meta.non_conversation_mode.delete.disabled.itmsaudit,,,
meta.non_conversation_mode.update.disabled.itmsaudit,,,
ITMSAUDIT MESSAGING,,,
msg.queue.disabled.itmsaudit,0,boolean,A flag that indicates whether or not queues associated with this database are disabled (i.e. excluded from being processed).
IWMS DATABASE CONNECTION,,,
db.connection.iwms.lock_retry.attempts,1000,integer,The number of times the application will reexecute an SQL statement when it encounters a locked row.
db.connection.iwms.lock_retry.interval,100,integer,The time in milliseconds between locked row retries.
db.connection.iwms.connection.expiration_hour,24,integer,The interval at which the framework will flush its prepared statements and close its connection.
db.connection.iwms.prepared.statement.queue.size,50,integer,"The maximum size of the prepared statement queue. Prepared statements are cached using the least recently used (LRU) algorithm. For example, if the queue size is set to 1000 and there currently are 1000 prepared statements cached internally, then the least recently used one will be removed from the list in order to make space for the new one."
db.connection.iwms.management.class_name,com.tecsys.base.dbupgr.DatabaseManagementImpl,string,The database management class name.
IWMS ENGINE,,,
meta.extension.package.iwms,com.tecsys.iwms.ext,,
meta.non_conversation_mode.create.disabled.iwms,,,
meta.non_conversation_mode.delete.disabled.iwms,,,
meta.non_conversation_mode.update.disabled.iwms,,,
IWMS ENVIRONMENT,,,
 ,,,
IWMS MESSAGING,,,
msg.queue.disabled.iwms,0,boolean,A flag that indicates whether or not queues associated with this database are disabled (i.e. excluded from being processed).
IWMS XML,,,
,,,
MDM DATABASE CONNECTION,,,
db.connection.mdm.lock_retry.attempts,1000,integer,The number of times the application will reexecute an SQL statement when it encounters a locked row.
db.connection.mdm.lock_retry.interval,100,integer,The time in milliseconds between locked row retries.
db.connection.mdm.connection.expiration_hour,24,integer,The interval at which the framework will flush its prepared statements and close its connection.
db.connection.mdm.prepared.statement.queue.size,50,integer,"The maximum size of the prepared statement queue. Prepared statements are cached using the least recently used (LRU) algorithm. For example, if the queue size is set to 1000 and there currently are 1000 prepared statements cached internally, then the least recently used one will be removed from the list in order to make space for the new one."
db.connection.mdm.management.class_name,com.tecsys.base.dbupgr.DatabaseManagementImpl,string,The database management class name.
MDM ENGINE,,,
meta.extension.package.mdm,com.tecsys.mdm.ext,,
meta.non_conversation_mode.create.disabled.mdm,,,
meta.non_conversation_mode.delete.disabled.mdm,,,
meta.non_conversation_mode.update.disabled.mdm,,,
mdm.load_vehicle.find_packages,0,,"The Show Packages to be Loaded action is only available for Windows CE and is available from the More Actions menu when this value set to 1. When this action is selected, a list of packages available to be loaded on the vehicle displays before the Load Vehicle summary screen opens (These packages are not required to be loaded on the vehicle.)."
MDM MESSAGING,,,
msg.queue.disabled.mdm,0,boolean,A flag that indicates whether or not queues associated with this database are disabled (i.e. excluded from being processed).
MDMAUDIT DATABASE CONNECTION,,,
db.connection.mdmaudit.lock_retry.attempts,1000,integer,The number of times the application will reexecute an SQL statement when it encounters a locked row.
db.connection.mdmaudit.lock_retry.interval,100,integer,The time in milliseconds between locked row retries.
db.connection.mdmaudit.connection.expiration_hour,24,integer,The interval at which the framework will flush its prepared statements and close its connection.
db.connection.mdmaudit.prepared.statement.queue.size,25,integer,"The maximum size of the prepared statement queue. Prepared statements are cached using the least recently used (LRU) algorithm. For example, if the queue size is set to 1000 and there currently are 1000 prepared statements cached internally, then the least recently used one will be removed from the list in order to make space for the new one."
db.connection.mdmaudit.management.class_name,com.tecsys.base.dbupgr.DatabaseManagementImpl,string,The database management class name.
MDMAUDIT ENGINE,,,
meta.extension.package.mdmaudit,com.tecsys.mdmaudit.ext,,
meta.non_conversation_mode.create.disabled.mdmaudit,,,
meta.non_conversation_mode.delete.disabled.mdmaudit,,,
meta.non_conversation_mode.update.disabled.mdmaudit,,,
MDMAUDIT MESSAGING,,,
msg.queue.disabled.mdmaudit,0,boolean,A flag that indicates whether or not queues associated with this database are disabled (i.e. excluded from being processed).
RMS DATABASE CONNECTION,,,
db.connection.rms.lock_retry.attempts,200,integer,The number of times the application will reexecute an SQL statement when it encounters a locked row.
db.connection.rms.lock_retry.interval,250,integer,The time in milliseconds between locked row retries.
db.connection.rms.connection.expiration_hour,24,integer,The interval at which the framework will flush its prepared statements and close its connection.
db.connection.rms.prepared.statement.queue.size,50,integer,"The maximum size of the prepared statement queue. Prepared statements are cached using the least recently used (LRU) algorithm. For example, if the queue size is set to 1000 and there currently are 1000 prepared statements cached internally, then the least recently used one will be removed from the list in order to make space for the new one."
db.connection.rms.management.class_name,com.tecsys.base.dbupgr.DatabaseManagementImpl,string,The database management class name.
RMS ENGINE,,,
meta.extension.package.rms,com.tecsys.rms.ext,,
meta.non_conversation_mode.create.disabled.rms,,,
meta.non_conversation_mode.delete.disabled.rms,,,
meta.non_conversation_mode.update.disabled.rms,,,
RMS ENVIRONMENT,,,
rms.signal.schedulers,1,,
rms.task.wait.interval,250,,
rms.task.wait.max.time,2000,,
rms.task.wait.auto.refresh,2,,
RMS MESSAGING,,,
msg.queue.disabled.rms,0,boolean,A flag that indicates whether or not queues associated with this database are disabled (i.e. excluded from being processed).
RMS XML,,,
 ,,,
RMSAUDIT DATABASE CONNECTION,,,
db.connection.rmsaudit.lock_retry.attempts,1000,integer,The number of times the application will reexecute an SQL statement when it encounters a locked row.
db.connection.rmsaudit.lock_retry.interval,100,integer,The time in milliseconds between locked row retries.
db.connection.rmsaudit.connection.expiration_hour,24,integer,The interval at which the framework will flush its prepared statements and close its connection.
db.connection.rmsaudit.prepared.statement.queue.size,25,integer,"The maximum size of the prepared statement queue. Prepared statements are cached using the least recently used (LRU) algorithm. For example, if the queue size is set to 1000 and there currently are 1000 prepared statements cached internally, then the least recently used one will be removed from the list in order to make space for the new one."
db.connection.rmsaudit.management.class_name,com.tecsys.base.dbupgr.DatabaseManagementImpl,string,The database management class name.
RMSAUDIT ENGINE,,,
meta.extension.package.rmsaudit,com.tecsys.rmsaudit.ext,,
meta.non_conversation_mode.create.disabled.rmsaudit,,,
meta.non_conversation_mode.delete.disabled.rmsaudit,,,
meta.non_conversation_mode.update.disabled.rmsaudit,,,
RMSAUDIT MESSAGING,,,
msg.queue.disabled.rmsaudit,0,boolean,A flag that indicates whether or not queues associated with this database are disabled (i.e. excluded from being processed).
SMS DATABASE CONNECTION,,,
db.connection.sms.lock_retry.attempts,1000,integer,The number of times the application will reexecute an SQL statement when it encounters a locked row.
db.connection.sms.lock_retry.interval,100,integer,The time in milliseconds between locked row retries.
db.connection.sms.connection.expiration_hour,24,integer,The interval at which the framework will flush its prepared statements and close its connection.
db.connection.sms.prepared.statement.queue.size,50,integer,"The maximum size of the prepared statement queue. Prepared statements are cached using the least recently used (LRU) algorithm. For example, if the queue size is set to 1000 and there currently are 1000 prepared statements cached internally, then the least recently used one will be removed from the list in order to make space for the new one."
db.connection.sms.management.class_name,com.tecsys.base.dbupgr.DatabaseManagementImpl,string,The database management class name.
SMS ENGINE,,,
meta.extension.package.sms,com.tecsys.sms.ext,,
meta.non_conversation_mode.create.disabled.sms,,,
meta.non_conversation_mode.delete.disabled.sms,,,
meta.non_conversation_mode.update.disabled.sms,,,
SMS ENVIRONMENT,,,
,,,
SMS MESSAGING,,,
msg.queue.disabled.sms,0,boolean,A flag that indicates whether or not queues associated with this database are disabled (i.e. excluded from being processed).
SMS CABINETRY,,,
environment.url.sms.tecsysCloud.cabinets.base.url,{sms.tecsysCloud.cabinets.protocol}://{sms.tecsysCloud.cabinets.host}/cabinetry,string,
environment.url.sms.tecsysCloud.cabinets.service.name,execute-api,string,
environment.url.sms.tecsysCloud.cabinets.region,{sms.tecsysCloud.cabinets.region},string,
environment.url.sms.tecsysCloud.cabinets.endpoint.tenant,/tenant,string,
environment.url.sms.tecsysCloud.cabinets.endpoint.device,/cabinet,string,
environment.url.sms.tecsysCloud.cabinets.endpoint.type,/cabinettype,string,
environment.url.sms.tecsysCloud.cabinets.endpoint.accessPass,/cabinet/accesspass/{accessPassId},string,
environment.url.sms.tecsysCloud.cabinets.endpoint.accessControl,/cabinet/{cabinetId}/accesscontrol,string,
environment.url.sms.tecsysCloud.cabinets.endpoint.inventory,/cabinet/{cabinetId}/inventory,string,
sms.tecsysCloud.cabinets.access.key,{sms.tecsysCloud.cabinets.access.key},string,
sms.tecsysCloud.cabinets.secret.key.encrypted,{sms.tecsysCloud.cabinets.secret.key.encrypted},string,
SMS SMART PANEL,,,
environment.url.sms.smartPanelProxy.led.url,{sms.smartPanel.proxy.protocol}://{sms.smartPanel.proxy.host}:{sms.smartPanel.proxy.port}/api/geniiboard/v1/{serialNumber}/led,string,The URL of the smartpanel LED (Light Emitting Diode) status endpoint. The SMS smartpanel port must be unique for each environment.
environment.url.sms.smartPanelProxy.ccPutAway.url,{sms.smartPanel.proxy.protocol}://{sms.smartPanel.proxy.host}:{sms.smartPanel.proxy.port}/api/geniiboard/v1/{serialNumber}/ccPutAway,string,The URL of the smartpanel tracked item putaway endpoint. The SMS smartpanel port must be unique for each environment.
environment.url.sms.smartPanelProxy.confirmGraceExpiry.url,{sms.smartPanel.proxy.protocol}://{sms.smartPanel.proxy.host}:{sms.smartPanel.proxy.port}/api/geniiboard/v1/confirmGraceExpiry,string,The URL of the smartpanel tag removal grace expiry confirmation endpoint. The SMS smartpanel port must be unique for each environment.
environment.url.sms.smartPanelProxy.tagInventory.url,{sms.smartPanel.proxy.protocol}://{sms.smartPanel.proxy.host}:{sms.smartPanel.proxy.port}/api/geniiboard/v1/tagInventory,string,The URL of the smartpanel tag inventory endpoint. The SMS smartpanel port must be unique for each environment.
environment.url.sms.printRFIDService.url,{sms.printRFIDService.protocol}://{sms.printRFIDService.host}:{sms.printRFIDService.port}/print,string,The URL of SMS RFID Printing Service endpoint.
environment.url.sms.queueService.url,{sms.queueService.protocol}://{sms.queueService.host}:{sms.queueService.port}/api/queue/,string,"The URL of the smartpanel™ Expiring Queue service endpoint. The SMS queue service port must be unique for each environment.

Note: In previous versions, the port number to use was defaulted to 1340."
environment.url.sms.smartPanel.language,en_US,string,The language to use when interfacing with smartpanel devices.
environment.url.sms.smartPanel.lateReplenishmentFeature,false,boolean,This indicates whether or not the smartpanel late replenishment feature is enabled.
environment.url.sms.tagManagementService.url,{app.server.protocol}://{sms.smartpanel.tag.management.service.host}{app.server.port}/{environment.name}/api/tagManagementService/v1/,string,The URL of the EliteSeries tag inventory endpoint.
environment.url.sms.tagManagementService.fullInventory.interval,4,integer,It's the interval in hours after which the system will process the full tag inventory contained in the next event coming from the smartpanel even if said event indicates to the system to only process the added/removed tags
sms.printRFIDService.interval,1000,integer,The delay to use when printing labels from SMS to a Datamax RFID printer.
sms.rfid.batch.re-print.limit,4,integer,
sms.rfid.label.re-print.limit,1,integer,
SMS XML,,,
 ,,,
SMSAUDIT DATABASE CONNECTION,,,
db.connection.smsaudit.lock_retry.attempts,1000,integer,The number of times the application will reexecute an SQL statement when it encounters a locked row.
db.connection.smsaudit.lock_retry.interval,100,integer,The time in milliseconds between locked row retries.
db.connection.smsaudit.connection.expiration_hour,24,integer,The interval at which the framework will flush its prepared statements and close its connection.
db.connection.smsaudit.prepared.statement.queue.size,25,integer,"The maximum size of the prepared statement queue. Prepared statements are cached using the least recently used (LRU) algorithm. For example, if the queue size is set to 1000 and there currently are 1000 prepared statements cached internally, then the least recently used one will be removed from the list in order to make space for the new one."
db.connection.smsaudit.management.class_name,com.tecsys.base.dbupgr.DatabaseManagementImpl,string,The database management class name.
SMSAUDIT ENGINE,,,
meta.extension.package.smsaudit,com.tecsys.smsaudit.ext,,
meta.non_conversation_mode.create.disabled.smsaudit,,,
meta.non_conversation_mode.delete.disabled.smsaudit,,,
meta.non_conversation_mode.update.disabled.smsaudit,,,
SMSAUDIT MESSAGING,,,
msg.queue.disabled.smsaudit,0,boolean,A flag that indicates whether or not queues associated with this database are disabled (i.e. excluded from being processed).
TECSYS_ADMIN DATABASE CONNECTION,,,
db.connection.tecsys_admin.lock_retry.attempts,200,integer,The number of times the application will reexecute an SQL statement when it encounters a locked row.
db.connection.tecsys_admin.lock_retry.interval,250,integer,The time in milliseconds between locked row retries.
db.connection.tecsys_admin.connection.expiration_hour,24,integer,The interval at which the framework will flush its prepared statements and close its connection.
db.connection.tecsys_admin.prepared.statement.queue.size,25,integer,"The maximum size of the prepared statement queue. Prepared statements are cached using the least recently used (LRU) algorithm. For example, if the queue size is set to 1000 and there currently are 1000 prepared statements cached internally, then the least recently used one will be removed from the list in order to make space for the new one."
db.connection.tecsys_admin.management.class_name,com.tecsys.base.dbupgr.DatabaseManagementImpl,string,The database management class name.
TMS DATABASE CONNECTION,,,
db.connection.tms.lock_retry.attempts,1000,integer,The number of times the application will reexecute an SQL statement when it encounters a locked row.
db.connection.tms.lock_retry.interval,100,integer,The time in milliseconds between locked row retries.
db.connection.tms.connection.expiration_hour,24,integer,The interval at which the framework will flush its prepared statements and close its connection.
db.connection.tms.prepared.statement.queue.size,50,integer,"The maximum size of the prepared statement queue. Prepared statements are cached using the least recently used (LRU) algorithm. For example, if the queue size is set to 1000 and there currently are 1000 prepared statements cached internally, then the least recently used one will be removed from the list in order to make space for the new one."
db.connection.tms.management.class_name,com.tecsys.base.dbupgr.DatabaseManagementImpl,string,
TMS ENGINE,,,
meta.extension.package.tms,com.tecsys.tms.ext,,
meta.non_conversation_mode.create.disabled.tms,,,
meta.non_conversation_mode.delete.disabled.tms,,,
meta.non_conversation_mode.update.disabled.tms,,,
TMS CONNECTSHIP,,,
environment.url.tms.connectship.interface.url,{app.server.protocol}://{tms.connectship.interface.host}/progistics/XML_Processor/Server/XMLProcDLL.asp,string,The URL used by TMS software to access the ConnectShip Progistics interface.
tms.connectship.interface.username,{tms.connectship.interface.username},string,The user name which accesses the ConnectShip interface.
tms.connectship.interface.password.encrypted,{tms.connectship.interface.password.encrypted},string,The encrypted password to use to access the ConnectShip Interface.
tms.connectship.interface.connect.timeout,60000,long,"The time (in milliseconds) to wait until a connection to the ConnectShip software is established. If a connection is not established within this period of time, the system will issue an error message. Set this property to 0 to make the system wait forever until a connection is established."
tms.connectship.interface.read.timeout,600000,long,"The time (in milliseconds) to wait until a response is received from the ConnectShip software after a connection has been established. If a response is not received within this period of time, the system will issue an error message. Set this property to 0 to make the system wait forever until a response is received."
#tms.connectship.Zebra.ZebraZ4MPlus.DARKNESS,10,,
#tms.connectship.Zebra.ZebraZ4MPlus.HORIZONTAL_ADJUSTMENT,0,,
#tms.connectship.Zebra.ZebraZ4MPlus.PRINT_SPEED,10,,
#tms.connectship.Zebra.ZebraZ4MPlus.RESOLUTION,203,,
#tms.connectship.Zebra.ZebraZ4MPlus.SLEW_SPEED,10,,
#tms.connectship.Zebra.ZebraZ4MPlus.VERTICAL_ADJUSTMENT,0,,
,,,
tms.carrier.manifest.class.TANDATA_MISC.ATS,com.tecsys.tms.api.cmd.TmsAtsTransmitManifest,string,
TMS FSMS ENVIRONMENT,,,
tms.fsms.carrier.module.host,{tms.fsms.carrier.module.host},string,The host to connect to when using the FedEx Ship Manager Server® (FSMS) Interface.
tms.fsms.carrier.module.port,{tms.fsms.carrier.module.port},integer,The port to connect to when using the FedEx Ship Manager Server® (FSMS) Interface. The default port is 2000.
tms.fsms.carrier.module.product.name,QJEC5,string,0
tms.fsms.carrier.module.product.version,5642,integer,0
tms.fsms.carrier.module.read.timeout,120000,long,
,,,
environment.url.tms.fsms.carrier.module.label_output_url,http://localhost.domain.com/fsmsImages/,string,
TMS FILE TRANSFER CONNECTION,,,
ftp.connection.SITE_NAME.server,,string,
ftp.connection.SITE_NAME.port,,integer,
ftp.connection.SITE_NAME.username,,string,
ftp.connection.SITE_NAME.password.encrypted,,string,
TMS MESSAGING,,,
msg.queue.disabled.tms,0,boolean,A flag that indicates whether or not queues associated with this database are disabled (i.e. excluded from being processed).
TMS REMOTE DATA LOGICAL SITES,,,
remote.data.SITE_NAME.soapaction,,string,
remote.data.SITE_NAME.contenttype,text/xml; charset=utf-8,string,
remote.data.SITE_NAME.password.encrypted,,string,
remote.data.SITE_NAME.http.username,,string,
remote.data.SITE_NAME.http.password.encrypted,,string,
remote.data.SITE_NAME.ssl.trust.password,,string,
remote.data.SITE_NAME.ssl.trust.store,,string,
remote.data.SITE_NAME.ssl.key.password,,string,
remote.data.SITE_NAME.ssl.key.store.password,,string,
remote.data.SITE_NAME.ssl.key.store,,string,
TMS SITE CONFIGURATION,,,
 ,,,
TMS XML,,,
 ,,,
TMSAUDIT DATABASE CONNECTION,,,
db.connection.tmsaudit.lock_retry.attempts,1000,integer,The number of times the application will reexecute an SQL statement when it encounters a locked row.
db.connection.tmsaudit.lock_retry.interval,100,integer,The time in milliseconds between locked row retries.
db.connection.tmsaudit.connection.expiration_hour,24,integer,The interval at which the framework will flush its prepared statements and close its connection.
db.connection.tmsaudit.prepared.statement.queue.size,25,integer,"The maximum size of the prepared statement queue. Prepared statements are cached using the least recently used (LRU) algorithm. For example, if the queue size is set to 1000 and there currently are 1000 prepared statements cached internally, then the least recently used one will be removed from the list in order to make space for the new one."
db.connection.tmsaudit.management.class_name,com.tecsys.base.dbupgr.DatabaseManagementImpl,string,The database management class name.
TMSAUDIT ENGINE,,,
meta.extension.package.tmsaudit,com.tecsys.tmsaudit.ext,,
meta.non_conversation_mode.create.disabled.tmsaudit,,,
meta.non_conversation_mode.delete.disabled.tmsaudit,,,
meta.non_conversation_mode.update.disabled.tmsaudit,,,
TMSAUDIT MESSAGING,,,
msg.queue.disabled.tmsaudit,0,boolean,A flag that indicates whether or not queues associated with this database are disabled (i.e. excluded from being processed).
WMS DATABASE CONNECTION,,,
db.connection.wms.lock_retry.attempts,1000,integer,The number of times the application will reexecute an SQL statement when it encounters a locked row.
db.connection.wms.lock_retry.interval,100,integer,The time in milliseconds between locked row retries.
db.connection.wms.connection.expiration_hour,24,integer,The interval at which the framework will flush its prepared statements and close its connection.
db.connection.wms.prepared.statement.queue.size,50,integer,"The maximum size of the prepared statement queue. Prepared statements are cached using the least recently used (LRU) algorithm. For example, if the queue size is set to 1000 and there currently are 1000 prepared statements cached internally, then the least recently used one will be removed from the list in order to make space for the new one."
db.connection.wms.management.class_name,com.tecsys.base.dbupgr.DatabaseManagementImpl,string,The database management class name.
WMS ENGINE,,,
meta.extension.package.wms,com.tecsys.wms.ext,,
meta.non_conversation_mode.create.disabled.wms,,,
